PERIODO;FECHA_REGISTRO;CODIGO;COMPONENTE;KAYROS
202402;2024-02-20 10:28:47;0000013534;FIBRYGA 1G - OCTAPHARMA;5546.60
202402;2024-02-20 10:27:18;0000013534;FIBRYGA 1G - OCTAPHARMA;5972.89
202402;2024-02-14 18:05:54;0000013533;OCTAGAM 10%  5G X 50ML . OCTAPHARMA;5320.00
202402;2024-02-14 16:11:08;0000013533;OCTAGAM 10%  5G X 50ML . OCTAPHARMA;5320.00
202402;2024-02-14 16:10:52;0000013533;OCTAGAM 10%  5G X 50ML . OCTAPHARMA;5320.00
202402;2024-02-14 10:16:38;0000013533;OCTAGAM 10%  5G X 50ML . OCTAPHARMA;5320.00
202402;2024-02-08 17:11:08;0000012975;CLINDAMICINA 600 MG /4ML  AMP;8.49
202402;2024-02-08 17:10:59;0000012975;CLINDAMICINA 600 MG /4ML  AMP;8.49
202402;2024-02-08 13:04:26;0000013482;AGUA ESTERIL 5ML AMP (DANY);1.66
202402;2024-02-08 13:00:54;0000013482;AGUA ESTERIL 5ML AMP (DANY);166.32
202402;2024-02-08 13:00:35;0000013482;AGUA ESTERIL 5ML AMP (DANY);166.32
202401;2024-01-24 12:24:45;0000013518;PULMOZYME 2.5MG/2.5ML AMP (ROCHE);199.00
202401;2024-01-20 14:46:04;0000013513;FOSFATO DE POTASIO 20 ML VIAL;45.10
202401;2024-01-17 13:42:41;0000013518;PULMOZYME 2.5MG/2.5ML AMP (ROCHE);199.00
202401;2024-01-16 16:24:28;0000013502;XAROBAN 20 mg (TECNOFARMA);20.82
202401;2024-01-16 14:53:20;0000013501;XAROBAN 15 MG (TECNOFARMA);20.82
202401;2024-01-11 17:17:53;0000012878;DIOXAFLEX CB NF 50 MG CAP. (LAB BAGO);4.81
202401;2024-01-10 12:30:00;0000013509;ACETILCISTEINA 200 MG/2 GR SOBRE;2.80
202401;2024-01-10 12:25:13;0000013509;ACETILCISTEINA 200 MG/2 GR SOBRE;2.80
202401;2024-01-07 08:15:57;0000013407;BRIMODIN 600 MG TAB EFE (IQ FARMA);8.79
202401;2024-01-07 08:15:36;0000013407;BRIMODIN 600 MG TAB EFE (IQ FARMA);8.79
202401;2024-01-06 10:19:51;0000007283;DEXTRO TOSS 120 ML;24.00
202401;2024-01-06 10:15:22;0000008192;MUCOASMAT 600 MG/2 GR SOBRE (LABOFAR);5.31
202312;2023-12-23 10:51:46;0000013495;COLISTINA 150 MG - COLISTIMETATO (SEVEN FARMA);916.95
202312;2023-12-22 09:34:31;0000013481;DEXTROSA 10% X 1000 - BRAUN;36.73
202312;2023-12-21 11:03:23;0000013489;TRIAMCINOLONA 50 MG/ 5 ML AMP (TRIANCIMAX);30.50
202312;2023-12-20 09:59:40;0000013298;DOBUTAMINA 250 mg /20 ml;49.00
202312;2023-12-20 09:59:36;0000013298;DOBUTAMINA 250 mg /20 ml;49.00
202312;2023-12-18 14:51:18;0000013348;HIOSCINA BUTIL 10 MG (VITAPHARMA);0.81
202312;2023-12-04 18:59:58;0000013070;CLOBULER F 30 MG/5ML X100 ML (GENCOPHARMAC);15.50
202312;2023-12-04 18:57:46;0000013433;SULFADIAZINA DE PLATA 1% X 15 G IQ FARMA;15.50
202311;2023-11-27 18:19:33;0000013068;BIOPRED 5 MG/5 ML x 60 ML (GENCOPHARMAC );64.00
202311;2023-11-27 18:18:57;0000013068;BIOPRED 5 MG/5 ML x 60 ML (GENCOPHARMAC );80.64
202311;2023-11-27 15:34:51;0000013455;ETORICOXIB 90 MG TAB (BONAPHARM);7.90
202311;2023-11-27 15:31:53;0000013451;ILTUXAM HCT 40/5/12.5MG;16.52
202311;2023-11-27 09:27:37;0000012877;FLEX  4 MG TAB (LAB BAGO);4.30
202311;2023-11-23 10:24:23;0000006939;FLUCONAZOL 150 MG FARMIN.;1.38
202311;2023-11-22 10:30:53;0000013459;CLAVUMOX 600 MG/42/mg/5ml;126.20
202311;2023-11-22 10:19:07;0000013459;CLAVUMOX 600 MG;126.20
202311;2023-11-22 10:15:34;0000013459;CLAVUMOX 600 MG;140.00
202311;2023-11-17 11:24:13;0000013446;MIDAZOLAM 5 MG/ 5ML IM/IV (DOLOSAR);29.67
202311;2023-11-16 12:38:22;0000013450;FRESUBIN RENAL 200ML (FRESENIUS KABI);30.50
202311;2023-11-16 12:37:49;0000013450;FRESUBIN RENAL 200ML (FRESENIUS KABI);40.50
202311;2023-11-16 12:37:08;0000013450;FRESUBIN RENAL 200ML (FRESENIUS KABI);55.00
202311;2023-11-16 12:36:23;0000013450;FRESUBIN RENAL 200ML (FRESENIUS KABI);39.00
202311;2023-11-08 10:40:14;0000013434;CEFAZOLINA 1GR VIAL (HK PHARMA);17.50
202311;2023-11-08 10:39:38;0000013434;CEFAZOLINA 1GR VIAL (HK PHARMA);19.00
202311;2023-11-08 10:23:56;0000013069;CLOBULER 15 MG X 100 ML (GENCOPHARMAC);32.50
202311;2023-11-07 13:09:58;0000013435;SYNVISC ONE SOL. INYEC. 48MG/6ML (SANOFI);1521.80
202311;2023-11-03 11:45:03;0000011024;MEROPENEM 1 GR VIAL (FRESENIUS - KABI);754.70
202311;2023-11-02 14:00:03;0000013402;LEVOCETIRIZINA 5 MG TAB (LEVOLERGYM);3.95
202310;2023-10-30 17:18:49;0000007945;DROPSTAR 0.4%;94.44
202310;2023-10-30 17:18:32;0000007945;DROPSTAR 0.4%;94.44
202310;2023-10-30 13:16:00;0000011024;MEROPENEM 1 GR VIAL (FRESENIUS - KABI);754.70
202310;2023-10-30 13:15:03;0000011024;MEROPENEM 1 GR VIAL (FRESENIUS - KABI);754.70
202310;2023-10-21 10:13:21;0000013366;KETOROLACO 60 MG/2 ML (DANY);5.00
202310;2023-10-21 10:12:23;0000013366;KETOROLACO 60 MG/2 ML (DANY);4.70
202310;2023-10-19 11:55:07;0000012362;TALFLEX 150 MG;6.00
202310;2023-10-19 11:52:50;0000013403;ACETILCISTEINA 600 MG SOBRE (BRIMODIN/IQ FARMA);4.04
202310;2023-10-17 13:19:40;0000013383;ATORVASTATINA 40 MG (LABOGEN);16.14
202310;2023-10-12 17:10:31;0000013385;CITRATO DE CAFEINA 10MG/ML (PREPARADO MAGISTRAL);76.27
202310;2023-10-10 10:26:28;0000013345;RINOMAR BABIES 30ML - BONAPHARM;53.20
202310;2023-10-09 11:20:38;0000013381;CARBONATO DE CALCIO 1250MG CAP (PREPARADO MAGISTRAL);4.57
202310;2023-10-07 11:39:02;0000013378;LORATADINA 10 MG  (PORTUGAL);3.58
202310;2023-10-07 11:37:20;0000013378;LORATADINA 10 MG  (PORTUGAL);39.90
202310;2023-10-04 13:43:47;0000013380;ALULA GOLD S-26 X 400GR;117.12
202310;2023-10-03 17:03:33;0000012937;AMOXI. 500MG/A.CLAVU. 125MG TAB (DANY);12.90
202310;2023-10-03 17:00:51;0000012937;AMOXI. 500MG/A.CLAVU. 125MG TAB (DANY);12.90
202310;2023-10-03 17:00:31;0000012937;AMOXI. 500MG/A.CLAVU. 125MG TAB (DANY);12.90
202310;2023-10-03 13:23:35;0000008364;PEYONA 20MG/1ML;266.00
202310;2023-10-03 13:19:45;0000013112;DOBUTAMINA 250 MG/20 ML (DOBULEX) BIOTECH;77.90
202310;2023-10-03 13:19:24;0000013112;DOBUTAMINA 250 MG/20 ML (DOBULEX) BIOTECH;76.90
202310;2023-10-03 13:18:58;0000013112;DOBUTAMINA 250 MG/20 ML (DOBULEX) BIOTECH;75.90
202310;2023-10-03 13:17:57;0000013112;DOBUTAMINA 250 MG/20 ML (DOBULEX) BIOTECH;90.00
202310;2023-10-03 13:07:13;0000011784;CALCITRIOL 0.25 MCG CAP. BLANDAS (UNIMED);4.50
202310;2023-10-03 13:06:39;0000011784;CALCITRIOL 0.25 MCG CAP. BLANDAS (UNIMED);3.90
202310;2023-10-02 16:22:32;0000013351;IBUPROFENO 400 MG (GENFAR);0.45
202309;2023-09-26 11:23:44;0000013364;ACIDO URSODEOXICOLICO 22MG CAP (PREPARADO MAGISTRAL);3.38
202309;2023-09-25 10:48:33;0000013361;GLANVIRAX 500 MG (GANCICLOVIR) OQ PHARMA;561.75
202309;2023-09-22 13:12:53;0000012992;ENOPLAX 40 MG/0.4 ML INY (CAPLIN);188.88
202309;2023-09-22 13:12:04;0000012992;ENOPLAX 40 MG/0.4 ML INY (CAPLIN);151.10
202309;2023-09-22 13:11:37;0000012838;OMEPRAZOL 40 MG VIAL (seve pharma);69.60
202309;2023-09-22 13:10:49;0000012838;OMEPRAZOL 40 MG VIAL (seve pharma);41.76
202309;2023-09-22 13:10:03;0000010677;BROMURO DE IPRATROPIO 20 MCG (LABOT);231.06
202309;2023-09-22 13:09:28;0000010677;BROMURO DE IPRATROPIO 20 MCG (LABOT);138.64
202309;2023-09-22 13:08:55;0000010597;OMEPRAZOL 40 MG VIAL (JPS);69.60
202309;2023-09-22 13:08:01;0000010597;OMEPRAZOL 40 MG VIAL (JPS);41.76
202309;2023-09-22 13:07:21;0000009513;PARACETAMOL 1 G/100ML FCO. VIDRIO SOL (FRESENIUS);256.29
202309;2023-09-22 13:06:33;0000009513;PARACETAMOL 1 G/100ML FCO. VIDRIO SOL (FRESENIUS);205.03
202309;2023-09-22 13:03:42;0000008288;NURECEL 40MG  0.4ML SOL INY;433.78
202309;2023-09-22 13:02:37;0000008288;NURECEL 40MG  0.4ML SOL INY;368.71
202309;2023-09-22 13:02:03;0000007443;MEROPENEM 1 GR VIAL (DANY);338.13
202309;2023-09-22 12:59:37;0000007443;MEROPENEM 1 GR VIAL (DANY);202.88
202309;2023-09-22 12:58:46;0000007263;OMEPRAZOL 40 MG VIAL (VITALIS);69.60
202309;2023-09-22 12:54:37;0000007263;OMEPRAZOL 40 MG VIAL (VITALIS);41.76
202309;2023-09-22 12:53:57;0000006884;VANCOMICINA 500 MG VIAL (VITALIS);235.51
202309;2023-09-22 12:49:07;0000006884;VANCOMICINA 500 MG VIAL (VITALIS);140.72
202309;2023-09-21 11:07:56;0000013349;ACIDO FUSIDICO 2% CREMA SANOFI;58.38
202309;2023-09-21 10:37:19;0000013340;ACIDO ACETIL SALICILICO 100 MG TAB (LABOT);0.48
202309;2023-09-21 10:36:59;0000013340;ACIDO ACETIL SALICILICO 100 MG TAB (LABOT);0.48
202309;2023-09-21 09:14:35;0000013341;LEVOFLOXACINO 500 MG TAB (LEFLOBAL);9.19
202309;2023-09-20 09:33:00;0000013356;EPOETINA 2000 UI/ML (LABOT);348.39
202309;2023-09-20 09:32:47;0000013356;EPOETINA 2000 UI/ML (LABOT);348.39
202309;2023-09-18 09:38:47;0000013350;DIOSMIN H 500 MG (MARKOS);6.61
202309;2023-09-18 09:38:35;0000013350;DIOSMIN H 500 MG (MARKOS);6.61
202309;2023-09-18 09:37:40;0000013350;DIOSMIN H 500 MG (MARKOS);6.61
202309;2023-09-18 09:37:00;0000013357;D-AXAT PRO 50 MG/5 ML  / PROTAMINA;381.36
202309;2023-09-14 11:50:29;0000013343;DESLORATADINA 2.5 MG/5 ML x 60 ML (LETIZIA - IQFARMA);39.90
202309;2023-09-12 15:53:56;0000013346;NEUMOCORTPLUS 160MCG + 4.5MCG X 150 DOSIS;151.68
202309;2023-09-12 15:53:19;0000013346;NEUMOCORTPLUS 160MCG + 4.5MCG X 150 DOSIS;131.19
202309;2023-09-12 10:34:25;0000013242;PROTLAND 50MG/5ML AMP;381.36
202309;2023-09-08 10:35:13;0000013323;ACIDO FOLICO 0.5 MG IQ FARMA;0.86
202309;2023-09-08 10:32:30;0000013326;ORFENADRINA 100 MG TAB (AC FARMA);0.59
202309;2023-09-06 17:47:49;0000012617;LYORPEM 1G IM/IV VIAL (OQ PHARMA);450.00
202309;2023-09-06 17:47:41;0000012617;LYORPEM 1G IM/IV VIAL (OQ PHARMA);450.00
202309;2023-09-06 17:41:27;0000012617;LYORPEM 1G IM/IV VIAL (OQ PHARMA);169.51
202309;2023-09-06 17:34:23;0000012617;LYORPEM 1G IM/IV VIAL (OQ PHARMA);450.00
202309;2023-09-06 17:33:10;0000012617;LYORPEM 1G IM/IV VIAL (OQ PHARMA);169.51
202309;2023-09-06 17:33:04;0000012617;LYORPEM 1G IM/IV VIAL (OQ PHARMA);169.51
202309;2023-09-04 17:22:08;0000013322;FRUTTIPED FRESA 500ML (BRAUN);12.00
202309;2023-09-04 17:21:24;0000013322;FRUTTIPED FRESA 500ML (BRAUN);12.00
202309;2023-09-04 17:20:55;0000013322;FRUTTIPED FRESA 500ML (BRAUN);12.00
202308;2023-08-31 16:28:46;0000009892;KETOPAN IV 100 MG;21.40
202308;2023-08-31 09:18:04;0000013319;ERITROMICINA 14 MG (PREPARADO MAGISTRAL);76.27
202308;2023-08-31 09:16:32;0000013321;GENSARNA X 60ML (PREPARADO MAGISTRAL);16.62
202308;2023-08-29 17:53:25;0000013299;PIPERACILINA 4.0 g + TAZOBACTAM 0.5 g / TAZOVAL (CORVAL);163.59
202308;2023-08-29 16:13:18;0000013320;RINOMAR SPRAY 30ML - BONAPHARM;77.17
202308;2023-08-29 16:12:21;0000013320;RINOMAR 30ML - BONAPHARM;71.22
202308;2023-08-23 16:59:48;0000009389;ARLETTE 28;3.10
202308;2023-08-23 16:46:51;0000013308;FLECTADOL 250MG/300MG - ABBOTT;8.58
202308;2023-08-21 09:50:30;0000013301;HIDROCORTISONA 100 MG (PHARMAGEN);37.72
202308;2023-08-21 09:07:17;0000013293;AZITROMICINA 500 MG TAB - GENFAR;22.50
202308;2023-08-18 14:20:04;0000013296;VCAFA 20MG/ML AMP - NORDIC;330.40
202308;2023-08-18 14:19:50;0000013296;VCAFA 20MG/ML AMP - NORDIC;330.40
202308;2023-08-17 18:20:07;0000013312;MICODYM CREMA 30 GR - PORTUGAL;71.32
202308;2023-08-14 14:01:13;0000008364;PEYONA 20MG/1ML;216.11
202308;2023-08-14 14:00:54;0000008364;PEYONA 20MG/1ML;216.11
202308;2023-08-14 12:28:52;0000013297;HIDROCLOROTIAZIDA 1MG/1ML (PREPARADO MAGISTRAL);56.40
202308;2023-08-14 12:13:43;0000013168;METRONIDAZOL 500MG/100ML INY (PHARMAGEN);90.17
202308;2023-08-09 15:37:09;0000013287;HIERRO SUCROSA 100 MG/5 ML AMP -FERRALIP;124.40
202308;2023-08-09 15:35:02;0000013292;HISBEC 16MG (CAFERMA);5.06
202308;2023-08-09 12:18:06;0000013287;HIERRO SUCROSA 100 MG/5 ML AMP -FERRALIP;808.43
202308;2023-08-05 10:42:56;0000013285;MANITOL 20% 500 ML (nordic);162.71
202308;2023-08-05 10:40:31;0000013270;NEOCOLIQ 40MG - IQ FARMA;8.80
202307;2023-07-31 10:40:15;0000013194;ET-COX 120 MG;16.00
202307;2023-07-26 16:39:53;0000013281;HIDROCLOROTIAZIDA 3.5MG/1ML (PREPARADO MAGISTRAL);56.40
202307;2023-07-26 11:58:09;0000013079;PREGABALINA 75 MG CAP X  30 (BONAPHARM);9.57
202307;2023-07-26 11:57:49;0000013079;PREGABALINA 75 MG CAP X  30 (BONAPHARM);9.57
202307;2023-07-24 17:12:32;0000013197;TENSOFLOW 10 MG;10.20
202307;2023-07-24 15:46:44;0000009336;PARACETAMOL 10 MG/ML- 100 ML;51.60
202307;2023-07-18 15:33:55;0000013194;ET-COX 120 MG;1.07
202307;2023-07-18 15:33:21;0000013194;ET-COX 120 MG;1.07
202307;2023-07-14 18:54:15;0000013255;NAN 1 OPTIPRO X 400G HM-0;112.70
202307;2023-07-13 16:13:40;0000013246;NAM 1LC 400G;73.30
202307;2023-07-13 16:12:46;0000013246;NAM 1LC 400G;81.50
202307;2023-07-13 14:40:49;0000013245;SUCRATE 1G/5ML FCOX200ML (AC FARMA);40.50
202307;2023-07-13 14:40:19;0000013245;SUCRATE 1G/5ML FCOX200ML (AC FARMA);33.50
202307;2023-07-12 09:20:54;0000013243;CLONAZEPAN 0.5MG/ML (PREPARADO MAGISTRAL);57.90
202307;2023-07-11 12:30:28;0000006800;AMINOFILINA 250MG/10ML;87.50
202307;2023-07-11 12:21:56;0000006800;AMINOFILINA 250MG/10ML;87.50
202307;2023-07-11 11:40:16;0000006800;AMINOFILINA 250MG/10ML;4.36
202307;2023-07-07 16:12:43;0000013225;AGUA DESTILADA 1000 C.C. (BRAUN);27.12
202307;2023-07-07 12:44:46;0000013081;ESCITASPRAM 10 MGTAB  (CAFERMA);12.81
202307;2023-07-07 11:44:10;0000013241;DOLOSAR 50 MG/10 ML IV;16.80
202307;2023-07-07 11:43:47;0000013241;DOLOSAR 50 MG/10 ML IV;16.80
202307;2023-07-06 11:04:02;0000013212;OXACILINA 1 GR VIAL (VITALIS);24.24
202307;2023-07-06 11:03:51;0000013212;OXACILINA 1 GR VIAL (VITALIS);24.24
202307;2023-07-05 13:44:19;0000013177;TRANEXOL 250 MG CAP - AC FARMA;7.90
202307;2023-07-04 10:16:25;0000013188;LIXAVAN 20 mg;20.70
202307;2023-07-03 16:03:41;0000013187;LIXAVAN 15 MG;20.84
202307;2023-07-03 10:38:53;0000013082;MEANTI 10 MG TAB X 30 (CAFERMA);9.86
202307;2023-07-03 10:38:48;0000013082;MEANTI 10 MG TAB X 30 (CAFERMA);9.86
202307;2023-07-03 10:36:28;0000013199;TENSOFLOW 5 MG;11.19
202307;2023-07-03 10:34:54;0000013199;TENSOFLOW 5 MG;11.19
202306;2023-06-29 10:49:24;0000013195;LEVOFLOW 500 MG;19.70
202306;2023-06-29 10:47:57;0000013191;OLMECARD 20 MG;14.80
202306;2023-06-29 10:47:02;0000013192;OLMECARD  40 MG;15.50
202306;2023-06-28 18:20:51;0000013183;OLMECARD AM 40 /5MG;16.61
202306;2023-06-28 18:20:37;0000013183;OLMECARD AM 40 /5MG;16.61
202306;2023-06-28 11:04:56;0000013211;HIDROCLOROTIAZIDA 5MG/ML X 50ML (PREPARADO MAGISTRAL);45.70
202306;2023-06-27 18:04:10;0000013186;ORIFLOW 0.4 MG;9.70
202306;2023-06-27 17:42:09;0000013182;OLMECARD H 40/12.5MG;14.50
202306;2023-06-27 17:41:04;0000013182;OLMECARD H 40/12.5MG;16.30
202306;2023-06-27 15:27:04;0000013185;ORIFLOW DUO 0.5MG/0.4MG;11.08
202306;2023-06-27 15:24:56;0000013185;ORIFLOW DUO 0.5MG/0.4MG;14.90
202306;2023-06-26 15:24:56;0000012617;LYORPEM 1G IM/IV VIAL (OQ PHARMA);450.00
202306;2023-06-26 15:23:02;0000012617;LYORPEM 1G IM/IV VIAL (OQ PHARMA);450.00
202306;2023-06-26 15:22:03;0000012617;LYORPEM 1G IM/IV VIAL (OQ PHARMA);450.00
202306;2023-06-26 11:21:14;0000013066;PIROVAN 100MG/5ML x 60 ML SUSP.(GENCOPHARMAC);35.28
202306;2023-06-26 11:20:51;0000013066;PIROVAN 100MG/5ML x 60 ML SUSP.(GENCOPHARMAC);35.28
202306;2023-06-26 11:19:23;0000013061;FERROPEN 50MG/ML FCO GTS X 20 ML (GENCOPHARMAC.);105.84
202306;2023-06-26 11:16:46;0000012909;VARPEM 500 MG;27.76
202306;2023-06-25 18:25:58;0000013063;ALEXMIN 5MG/5ML JBE. x 60 ML (GENCOPHARMAC);46.80
202306;2023-06-23 17:56:55;0000013085;BISOPSI 5 MG TAB X 30 (CAFERMA);8.21
202306;2023-06-23 17:55:44;0000013085;BISOPSI 5 MG TAB X 30 (CAFERMA);8.21
202306;2023-06-23 17:54:59;0000013085;BISOPSI 5 MG TAB X 30 (CAFERMA);8.21
202306;2023-06-23 17:54:27;0000013085;BISOPSI 5 MG TAB X 30 (CAFERMA);8.21
202306;2023-06-23 10:30:58;0000013203;PREDNISONA 5 MG/5 ML x 120 ML (PORTUGAL);15.68
202306;2023-06-23 10:28:04;0000013204;TERBOCLOXIL 250 MG/5 ML x 60 ML (TERBOL);18.90
202306;2023-06-14 17:46:26;0000013180;RIXMIN 200MG (ABBOT);8.89
202306;2023-06-13 12:39:26;0000013107;CLINDAMICINA 600 MG /4ML  AMP - DANY;8.50
202306;2023-06-12 14:33:57;0000013167;AZITROMICINA 500 MG TAB X 100 - LABOGEN;27.89
202306;2023-06-12 14:32:12;0000007972;ERGOMETRINA 0.2 MG /ML;31.60
202306;2023-06-10 13:48:06;0000013170;PROGEVA 200MG CAP (ITF FARMA.);10.40
202306;2023-06-08 13:16:23;0000013114;SALBUVENT EXPEC.JBE 150 ML (ELIFARMA);40.60
202306;2023-06-06 16:31:50;0000013162;DUTASVITAE 0.5MG CAPS (GALENICUM);10.80
202306;2023-06-06 15:22:54;0000007885;PRADAXA 150MG;9.52
202306;2023-06-06 15:22:25;0000007885;PRADAXA 150MG;9.52
202306;2023-06-06 15:20:42;0000007885;PRADAXA 150MG;9.52
202306;2023-06-06 10:38:39;0000013111;DIAZEPAM 10MG/2ML AMP (CIROZEP);15.40
202305;2023-05-30 11:39:01;0000013137;ENFAMIL HUMAN MILK FF 5 ML (MEAD JOHNSON);23.91
202305;2023-05-29 14:04:09;0000013147;MISOPROLEN 200MCG TAB (INTIPHARMA);5.26
202305;2023-05-29 13:56:14;0000013146;LAXOVEN ENEMA 16g+6g /120 ML (LAB. MARKOS);103.50
202305;2023-05-29 13:54:42;0000013146;LAXOVEN ENEMA 16g+6g /120 ML (LAB. MARKOS);160.00
202305;2023-05-28 21:40:16;0000013115;SULFADIAZINA DE PLATA 1% X 30 G IQ FARMA;21.42
202305;2023-05-26 10:19:34;0000013131;TIGYLIN 50 MG CAJA VIAL X 1 (NORDIC PAHARM.);430.92
202305;2023-05-26 10:18:44;0000013131;TIGYLIN 50 MG CAJA VIAL X 1 (NORDIC PAHARM.);430.92
202305;2023-05-25 11:59:20;0000013084;VIBOLOXX 5MG TAB X 30 (CAFERMA);10.21
202305;2023-05-25 11:59:01;0000013084;VIBOLOXX 5MG TAB X 30 (CAFERMA);10.21
202305;2023-05-25 11:41:37;0000013113;GERMINA K AMP.BEBIBLE X 10 (NORDIC);2.38
202305;2023-05-25 11:30:13;0000010134;LOPERAMIDA 2 MG TAB (PORTUGAL);0.87
202305;2023-05-24 21:27:19;0000013125;FUROSEMIDA 1.5mg/ml x 30 ml (PREPARADO MAGISTRAL);45.76
202305;2023-05-24 21:26:43;0000013125;FUROSEMIDA 1.5mg/ml x 30 ml (PREPARADO MAGISTRAL);45.70
202305;2023-05-24 21:26:01;0000013126;SILDENAFILO 1.5mg/1ml x 30 ml (PREPARADO MAGISTRAL);45.80
202305;2023-05-24 21:24:59;0000013126;SILDENAFILO 1.5mg/1ml x 30 ml (PREPARADO MAGISTRAL);45.76
202305;2023-05-24 10:47:56;0000012993;MASTOCID 1%  FCO. SOL. x 30 ML (AC FARMA);91.00
202305;2023-05-24 10:47:38;0000012993;MASTOCID 1%  FCO. SOL. x 30 ML (AC FARMA);91.00
202305;2023-05-24 10:40:37;0000013124;CLORURO SODIO 9% x 100 ML - BRAUN;13.44
202305;2023-05-24 09:55:54;0000012993;MASTOCID 1%  FCO. SOL. x 30 ML (AC FARMA);91.00
202305;2023-05-24 09:53:12;0000006876;CLORURO SODIO 9% x 100 ML;13.44
202305;2023-05-24 09:52:50;0000013124;CLORURO SODIO 9% x 100 ML - BRAUN;13.44
202305;2023-05-20 22:02:04;0000013116;PLUXIME 100MG/5ML FCOx120ML (IQ FARMA);170.05
202305;2023-05-20 21:57:55;0000013116;PLUXIME 100MG/5ML FCOx120ML (IQ FARMA);198.06
202305;2023-05-18 11:51:27;0000007972;ERGOMETRINA 0.2 MG /ML;28.08
202305;2023-05-18 11:51:07;0000007972;ERGOMETRINA 0.2 MG /ML;28.08
202305;2023-05-18 11:27:08;0000013048;CLORURO SODIO 9% x 500 ML (BRAUN);32.96
202305;2023-05-18 09:16:57;0000013067;BIONIS 15MG/5ML SOL.ORAL X 100ML(GENCOPHARMAC);119.60
