Item;Descripcion;Und;Nro_Parte;Linea;Familia;SubFam;Codigo_Interno;Tipo;Item_Relacionado;Procedencia;Dimensiones;Estado;Cta_Inventario;Cta_Gasto;Codigo_CUM;Codigo_Kairos;Codigo_DIGEMID;Ult_Usuario;Ult_Modif;SubFamInf
0000006375;SEDOTROPINA GOTAS X 15 C.C;FCO;;02;0059;0013;334;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;9888;ROYAL;27-04-2018 16:41;
0000006376;ISONIAZIDA 100MG. TAB;TAB;;02;0116;0002;335;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;22820;ROYAL;27-04-2018 16:41;
0000006377;SEDOTROPINA FLAT X 15 ML;FCO;;02;0059;0015;339;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;9889;ROYAL;27-04-2018 16:41;
0000006378;GINGISONA TOQUES x 30 ML;FCO;;02;0015;0003;;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;48426;OROJAS;13-04-2021 10:59;
0000006379;SILVERDIAZINA 250 GR;POT;;02;0389;0013;345;MEDICAMENTOS;;LOCAL;;Inactivo;20111001;91111101;;;10035;GPERALTA;27-06-2019 08:36;
0000006380;SILVERDIAZINA 50 gr.;TUB;;02;0389;0014;347;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;10036;MYANTAS;31-08-2018 09:15;
0000006381;SILVERDIAZINA;GRA;;02;0389;0012;348;MEDICAMENTOS;;LOCAL;;Inactivo;20111001;91111101;;;;GPERALTA;27-06-2019 08:36;
0000006382;OMEPRAL  CAP;CAP;;02;0122;0005;354;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;23885;MYANTAS;31-08-2018 09:15;
0000006383;BISMUTOL SUSP. X 340 ML;FCO;;02;0021;0004;357;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;N0175310012;;29944;MYANTAS;31-08-2018 09:16;
0000006384;DEXTRO TOSS GOTAS;FCO;;02;0423;0001;360;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;3515;ROYAL;27-04-2018 16:41;
0000006385;BISMUTOL SUSP. X 150 ML;FCO;;02;0021;0003;361;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;N0175310009;;29943;MYANTAS;31-08-2018 09:16;
0000006386;COMPLEJO VIT. B CAP;CAP;;02;0271;0029;362;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;2980;ROYAL;27-04-2018 16:41;
0000006387;PANADOL GOTAS 15 ml;FCO;;02;0338;0013;393;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;23966;MYANTAS;12-03-2019 09:07;
0000006388;PANADOL JBE 60 ml.;FCO;;02;0338;0015;394;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;8769;MYANTAS;12-03-2019 09:07;
0000006389;SAL DE ANDREWS;SOB;;02;0021;0002;395;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;9789;ROYAL;27-04-2018 16:41;
0000006390;GLIDIABET TAB;TAB;;02;0054;0003;400;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;5403;ROYAL;27-04-2018 16:41;
0000006391;SOMAZINA GTS X 30 CC;FCO;;02;0002;0002;402;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;10157;ROYAL;27-04-2018 16:41;
0000006392;SOMAZINA 500 MG;AMP;;02;0002;0003;406;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;10158;GPERALTA;09-09-2020 08:19;
0000006393;ANGINOVAG SPRAY;FCO;;02;0418;0008;407;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;790;ROYAL;27-04-2018 16:41;
0000006394;ACICLOVIR 5% x 5 GR CREMA;TUB;;02;0126;0005;410;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;40290;CSHIMABUKU;14-05-2021 10:36;
0000006395;CODIFARMA 2 ml. iny.;AMP;;02;0011;0001;415;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;26373;ROYAL;27-04-2018 16:41;
0000006396;DIBROLAX GOTAS;FCO;;02;0197;0010;418;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;3602;ROYAL;27-04-2018 16:41;
0000006397;MULTIDERM CREMA;TUB;;02;0083;0001;419;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;7719;ROYAL;27-04-2018 16:41;
0000006398;MULTIMYCIN UNGT X 14 GR;TUB;;02;0363;0004;422;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;7724;ROYAL;27-04-2018 16:41;
0000006399;NORFLEX 60 MG;AMP;;02;0206;0009;423;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;26176;MYANTAS;26-02-2019 09:11;
0000006400;NITROPACK DR CAP;CAP;;02;0030;0005;424;MEDICAMENTOS;;LOCAL;;Inactivo;20111001;91111101;;;;GPERALTA;27-06-2019 08:36;
0000006401;NORFLEX TAB;TAB;;02;0206;0008;433;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;40409;MYANTAS;26-02-2019 09:11;
0000006402;ALPAZ 0.5OMG. TAB;TAB;;02;0017;0001;436;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;499;ROYAL;27-04-2018 16:41;
0000006403;THEOLAIR NF JBE. 120 ML;FCO;;02;0035;0029;445;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;10701;ROYAL;27-04-2018 16:41;
0000006404;THEOLAIR S125MG. TAB;TAB;;02;0035;0028;447;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;10703;ROYAL;27-04-2018 16:41;
0000006405;CLAVUMOX 500/125 MG.;TAB;;02;0360;0016;450;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;27929;ROYAL;27-04-2018 16:41;
0000006406;CLAVUMOX 250/62.5 MG x 60 ml.;FCO;;02;0360;0012;451;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;2690;ROYAL;27-04-2018 16:41;
0000006407;ADONA AC-17 30MG. TAB;TAB;;02;0386;0001;453;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;214;ROYAL;27-04-2018 16:41;
0000006408;ACICLOVIR 200 MG TAB;CAP;;02;0126;0001;454;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;102;MYANTAS;21-03-2019 09:35;
0000006409;ACICLOVIR CREMA 5% x 5 GR. FARMIN.;TUB;;02;0126;0007;458;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;20072;MYANTAS;15-08-2019 08:43;
0000006410;BACTEROL FORTE TAB.;TAB;;02;0360;0084;460;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;1309;ROYAL;27-04-2018 16:41;
0000006411;BACTEROL FORTE SUSP. 50 ML;FCO;;02;0360;0082;461;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;26680;ROYAL;27-04-2018 16:41;
0000006412;BACTEROL INFANTIL SUSP.;FCO;;02;0360;0081;462;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;1308;ROYAL;27-04-2018 16:41;
0000006413;DESTOLIT CREMA 60 GMS.;TUB;;02;0161;0002;464;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;3450;ROYAL;27-04-2018 16:41;
0000006414;ACICLOVIR 800 MG FARMIN.;TAB;;02;0126;0008;466;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;108;MYANTAS;14-12-2018 09:14;
0000006415;ASSA-81;CAP;;02;0026;0002;467;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;N0191500000;;988;GPERALTA;01-01-2019 11:46;
0000006416;LIPEBIN 90 ML.;FCO;;02;0197;0009;469;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;6867;ROYAL;27-04-2018 16:41;
0000006417;SUP.GLICERINA ADULTOS;SUP;;02;0197;0006;472;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;35433;ROYAL;27-04-2018 16:41;
0000006418;DIFLUCAN 150 mg  CAP;CAP;;02;0077;0017;478;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;31402;ROYAL;27-04-2018 16:41;
0000006419;TERRAMICINA UNGT OFT;TUB;;02;0389;0011;479;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;35601;ROYAL;27-04-2018 16:41;
0000006420;DIFLUCAN I.V. 2 mg.;AMP;;02;0077;0021;481;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;3684;ROYAL;27-04-2018 16:41;
0000006421;UNASYN 375 mg  TAB;TAB;;02;0360;0034;497;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;29041;ROYAL;27-04-2018 16:41;
0000006422;UNASYN I.V. 1.5 g.;AMP;;02;0360;0032;499;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;11045;ROYAL;27-04-2018 16:41;
0000006423;NORVASC 5 MG.;TAB;;02;0068;0002;502;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;8341;ROYAL;27-04-2018 16:41;
0000006424;NORVASC 10 MG;TAB;;02;0068;0001;503;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;8343;ROYAL;27-04-2018 16:41;
0000006425;FASIGYN ORAL 1 G;TAB;;02;0077;0037;504;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;4727;ROYAL;27-04-2018 16:41;
0000006426;CELEBREX 200 MG;CAP;;02;0407;0001;512;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;21030;ROYAL;27-04-2018 16:41;
0000006427;VIAGRA 100 MG;TAB;;02;0155;0003;514;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;35478;ROYAL;27-04-2018 16:41;
0000006428;MEGACILINA ORAL GRA;GRG;;02;0360;0132;515;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;7276;ROYAL;27-04-2018 16:41;
0000006429;MEGACILINA 1000000 UI INY. x 1 VIAL;AMP;;02;0360;0131;517;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;7274;MYANTAS;06-03-2019 08:54;
0000006430;MEGACILINA FORTE 4000 AMP.;AMP;;02;0360;0133;518;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;7278;ROYAL;27-04-2018 16:41;
0000006431;TRAMAL 100 MG AMP;AMP;;02;0011;0004;519;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;38824;CSHIMABUKU;14-05-2021 10:36;
0000006432;CODIPRONT EXPECT.;CAP;;02;0121;0003;;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;42729;OROJAS;13-04-2021 10:59;
0000006433;TRAMAL 50 MG AMP;AMP;;02;0011;0007;524;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;10846;ROYAL;27-04-2018 16:41;
0000006434;CODIPRONT CAP;CAP;;02;0118;0003;;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;44681;OROJAS;13-04-2021 10:59;
0000006435;CODIPRONT JBE;FCO;;02;0118;0002;;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;27621;OROJAS;13-04-2021 10:59;
0000006436;TRAMAL CAP 50 MG;CAP;;02;0011;0008;536;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;10848;ROYAL;27-04-2018 16:41;
0000006437;CODIPRONT EXPECTORANTE;FCO;;02;0121;0004;542;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;25993;ROYAL;27-04-2018 16:41;
0000006438;DICETEL 50 MG.;TAB;;02;0170;0002;543;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;26686;ROYAL;27-04-2018 16:41;
0000006439;TRAMAL GOTAS;FCO;;02;0011;0006;544;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;32037;ROYAL;27-04-2018 16:41;
0000006440;TRAMAL LONG 100 MG.;TAB;;02;0011;0005;545;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;10851;ROYAL;27-04-2018 16:41;
0000006441;SUPRACYCLIN 100 MG;TAB;;02;0360;0088;555;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;10438;ROYAL;27-04-2018 16:41;
0000006442;DICETEL 100 MG.;TAB;;02;0170;0001;558;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;26685;ROYAL;27-04-2018 16:41;
0000006443;VOLTAREN EMULGEL  30 G;TUB;;02;0335;0006;567;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;11579;ROYAL;27-04-2018 16:41;
0000006444;TEGRETOL CR 400 DIVITAB;TAB;;02;0051;0004;576;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;10548;ROYAL;27-04-2018 16:41;
0000006445;BETNOVATE CREMA X 30 GR;TUB;;02;0406;0002;582;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;20693;ROYAL;27-04-2018 16:41;
0000006446;VENTOLIN INHALADOR 200 dosis;FCO;;02;0035;0020;587;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;34263;ROYAL;27-04-2018 16:41;
0000006447;BETNOVATE LOCION-CAPILAR;FCO;;02;0408;0002;590;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;20694;ROYAL;27-04-2018 16:41;
0000006448;DERMOVATE LOCION-CAPILAR;FCO;;02;0406;0003;591;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;3423;ROYAL;27-04-2018 16:41;
0000006449;DERMOVATE UNG. X 40 G;TUB;;02;0406;0004;593;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;3422;ROYAL;27-04-2018 16:41;
0000006450;ZINNAT 750 mg. x 1 amp.;AMP;;02;0360;0063;605;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;11806;ROYAL;27-04-2018 16:41;
0000006451;FLIXONASE SPRAY 120 DOSIS;FCO;;02;0398;0001;609;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;4933;MYANTAS;28-12-2018 11:06;
0000006452;VENTOLIN SOLUCION X 10ML.;FCO;;02;0035;0033;;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;39747;KREYES;10-07-2023 09:37;
0000006453;VALTREX 500 MG;TAB;;02;0126;0010;613;MEDICAMENTOS;;LOCAL;;Activo;20111001;91111101;;;11186;ROYAL;27-04-2018 16:41;
